analysis	signature_acc	signature_desc	hit_rows	unique_proteins
Gene3D	G3DSA:1.10.274.30	MRG domain	2	2
Gene3D	G3DSA:1.10.286.10		2	2
Gene3D	G3DSA:1.10.287.100		2	2
Gene3D	G3DSA:1.10.287.1080		2	2
Gene3D	G3DSA:1.10.287.1130	CytochromE C oxidase copper chaperone	2	2
Gene3D	G3DSA:1.10.287.1480		2	2
Gene3D	G3DSA:1.10.287.160	HR1 repeat	2	2
Gene3D	G3DSA:1.10.287.1880		2	2
Gene3D	G3DSA:1.10.287.20		2	2
Gene3D	G3DSA:1.10.287.2610		2	2
Gene3D	G3DSA:1.10.287.310		2	2
Gene3D	G3DSA:1.10.287.380		2	2
Gene3D	G3DSA:1.10.287.4290		2	2
Gene3D	G3DSA:1.10.287.440		2	2
Gene3D	G3DSA:1.10.287.690	Helix hairpin bin	2	2
Gene3D	G3DSA:1.10.287.80	ATP synthase, gamma subunit, helix hairpin domain	2	2
Gene3D	G3DSA:1.10.287.810	Mitochondrial import inner membrane translocase subunit tim13 like domains	2	2
Gene3D	G3DSA:1.10.290.10	Topoisomerase I, domain 4	2	2
Gene3D	G3DSA:1.10.3090.10		2	2
Gene3D	G3DSA:1.10.3270.10		2	2
Gene3D	G3DSA:1.10.3450.20		2	2
Gene3D	G3DSA:1.10.3520.10	Glycolipid transfer protein	2	2
Gene3D	G3DSA:1.10.3560.10	yst0336 like domain	2	2
Gene3D	G3DSA:1.10.357.10	Tetracycline Repressor, domain 2	2	2
Gene3D	G3DSA:1.10.357.150		2	2
Gene3D	G3DSA:1.10.357.20	SLC41 divalent cation transporters, integral membrane domain	2	2
Gene3D	G3DSA:1.10.357.30		2	2
Gene3D	G3DSA:1.10.357.70		2	2
Gene3D	G3DSA:1.10.3580.10	ATP12 ATPase	2	2
Gene3D	G3DSA:1.10.3970.10	BSD domain	2	2
Gene3D	G3DSA:1.10.418.50		2	2
Gene3D	G3DSA:1.10.418.60	Ncd80 complex, Nuf2 subunit	2	2
Gene3D	G3DSA:1.10.418.70		2	2
Gene3D	G3DSA:1.10.420.10	Peroxidase, domain 2	2	2
Gene3D	G3DSA:1.10.45.10		2	2
Gene3D	G3DSA:1.10.460.10	Topoisomerase I, domain 2	2	2
Gene3D	G3DSA:1.10.472.30		2	2
Gene3D	G3DSA:1.10.486.10	PCRA; domain 4	2	2
Gene3D	G3DSA:1.10.520.20		2	2
Gene3D	G3DSA:1.10.60.20		2	2
Gene3D	G3DSA:1.10.620.20	Ribonucleotide Reductase, subunit A	2	2
Gene3D	G3DSA:1.10.720.60		2	2
Gene3D	G3DSA:1.10.760.10		2	2
Gene3D	G3DSA:1.10.8.1120		2	2
Gene3D	G3DSA:1.10.8.1310		2	2
Gene3D	G3DSA:1.10.8.50		2	2
Gene3D	G3DSA:1.10.8.530		2	2
Gene3D	G3DSA:1.10.8.660		2	2
Gene3D	G3DSA:1.10.8.770		2	2
Gene3D	G3DSA:1.20.1000.10		2	2
Gene3D	G3DSA:1.20.1050.80	VPS9 domain	2	2
Gene3D	G3DSA:1.20.1080.10	Glycerol uptake facilitator protein.	2	2
Gene3D	G3DSA:1.20.1150.12		2	2
Gene3D	G3DSA:1.20.120.1070		2	2
Gene3D	G3DSA:1.20.120.1150		2	2
Gene3D	G3DSA:1.20.120.150		2	2
Gene3D	G3DSA:1.20.120.160	HPT domain	2	2
Gene3D	G3DSA:1.20.120.1780	UbiA prenyltransferase	2	2
Gene3D	G3DSA:1.20.120.20	Apolipoprotein	2	2
Gene3D	G3DSA:1.20.120.310	ERV/ALR sulfhydryl oxidase domain	2	2
Gene3D	G3DSA:1.20.120.430	tRNA modification GTPase MnmE domain 2	2	2
Gene3D	G3DSA:1.20.120.670		2	2
Gene3D	G3DSA:1.20.120.900	Pex19, mPTS binding domain	2	2
Gene3D	G3DSA:1.20.1260.100	TspO/MBR protein	2	2
Gene3D	G3DSA:1.20.1270.220		2	2
Gene3D	G3DSA:1.20.1270.350		2	2
Gene3D	G3DSA:1.20.1280.130		2	2
Gene3D	G3DSA:1.20.1280.20		2	2
Gene3D	G3DSA:1.20.1300.20	Peptidase C65 Otubain, subdomain 2	2	2
Gene3D	G3DSA:1.20.1390.10	PWI domain	2	2
Gene3D	G3DSA:1.20.140.50	alix/aip1 like domains	2	2
Gene3D	G3DSA:1.20.1440.170		2	2
Gene3D	G3DSA:1.20.1440.230		2	2
Gene3D	G3DSA:1.20.1440.340		2	2
Gene3D	G3DSA:1.20.1480.30		2	2
Gene3D	G3DSA:1.20.1730.10	Sodium/glucose cotransporter	2	2
Gene3D	G3DSA:1.20.190.20		2	2
Gene3D	G3DSA:1.20.225.20		2	2
Gene3D	G3DSA:1.20.272.40		2	2
Gene3D	G3DSA:1.20.5.1160		2	2
Gene3D	G3DSA:1.20.5.1300		2	2
Gene3D	G3DSA:1.20.5.1430		2	2
Gene3D	G3DSA:1.20.5.220		2	2
Gene3D	G3DSA:1.20.5.260		2	2
Gene3D	G3DSA:1.20.5.300		2	2
Gene3D	G3DSA:1.20.5.320		2	2
Gene3D	G3DSA:1.20.5.370		2	2
Gene3D	G3DSA:1.20.5.490	Single helix bin	2	2
Gene3D	G3DSA:1.20.5.5270		2	2
Gene3D	G3DSA:1.20.5.650	Single helix bin	2	2
Gene3D	G3DSA:1.20.58.100		2	2
Gene3D	G3DSA:1.20.58.1020		2	2
Gene3D	G3DSA:1.20.58.1070		2	2
Gene3D	G3DSA:1.20.58.120	BAG domain	2	2
Gene3D	G3DSA:1.20.58.1210		2	2
Gene3D	G3DSA:1.20.58.1220		2	2
Gene3D	G3DSA:1.20.58.1250		2	2
Gene3D	G3DSA:1.20.58.1280		2	2
Gene3D	G3DSA:1.20.58.150	ANTH domain	2	2
Gene3D	G3DSA:1.20.58.1590	Tethering factor for nuclear proteasome Cut8/Sts1	2	2
Gene3D	G3DSA:1.20.58.160		2	2
Gene3D	G3DSA:1.20.58.190	Translin; domain 1	2	2
Gene3D	G3DSA:1.20.58.200	Translin; domain 2	2	2
Gene3D	G3DSA:1.20.58.2240		2	2
Gene3D	G3DSA:1.20.58.320		2	2
Gene3D	G3DSA:1.20.58.480		2	2
Gene3D	G3DSA:1.20.58.860		2	2
Gene3D	G3DSA:1.20.58.870		2	2
Gene3D	G3DSA:1.20.80.40		2	2
Gene3D	G3DSA:1.20.920.60		2	2
Gene3D	G3DSA:1.20.930.10	Conserved domain common to transcription factors TFIIS, elongin A, CRSP70	2	2
Gene3D	G3DSA:1.20.930.60		2	2
Gene3D	G3DSA:1.25.40.150		2	2
Gene3D	G3DSA:1.25.40.270		2	2
Gene3D	G3DSA:1.25.40.510		2	2
Gene3D	G3DSA:1.25.40.530	MyTH4 domain	2	2
Gene3D	G3DSA:1.25.40.660		2	2
Gene3D	G3DSA:1.25.40.710		2	2
Gene3D	G3DSA:1.25.40.840		2	2
Gene3D	G3DSA:1.25.40.860		2	2
Gene3D	G3DSA:2.102.10.10		2	2
Gene3D	G3DSA:2.130.10.130		2	2
Gene3D	G3DSA:2.140.10.30		2	2
Gene3D	G3DSA:2.170.120.12		2	2
Gene3D	G3DSA:2.170.16.10	Hedgehog/Intein (Hint) domain	2	2
Gene3D	G3DSA:2.20.20.110		2	2
Gene3D	G3DSA:2.20.25.100		2	2
Gene3D	G3DSA:2.20.25.190		2	2
Gene3D	G3DSA:2.30.250.10	Aminopeptidase i, Domain 2	2	2
Gene3D	G3DSA:2.30.280.10		2	2
Gene3D	G3DSA:2.30.29.220		2	2
Gene3D	G3DSA:2.30.29.90		2	2
Gene3D	G3DSA:2.30.30.230		2	2
Gene3D	G3DSA:2.30.30.360		2	2
Gene3D	G3DSA:2.30.30.60		2	2
Gene3D	G3DSA:2.30.30.650		2	2
Gene3D	G3DSA:2.30.30.70	Ribosomal protein L21	2	2
Gene3D	G3DSA:2.30.30.770		2	2
Gene3D	G3DSA:2.30.31.10	Transcriptional Coactivator Pc4; Chain A	2	2
Gene3D	G3DSA:2.40.10.230	Probable tRNA pseudouridine synthase domain	2	2
Gene3D	G3DSA:2.40.110.20		2	2
Gene3D	G3DSA:2.40.128.330		2	2
Gene3D	G3DSA:2.40.128.700		2	2
Gene3D	G3DSA:2.40.160.210		2	2
Gene3D	G3DSA:2.40.290.10		2	2
Gene3D	G3DSA:2.40.30.110		2	2
Gene3D	G3DSA:2.40.30.180		2	2
Gene3D	G3DSA:2.40.30.230		2	2
Gene3D	G3DSA:2.40.30.30		2	2
Gene3D	G3DSA:2.40.30.330		2	2
Gene3D	G3DSA:2.40.50.1000		2	2
Gene3D	G3DSA:2.40.50.1060		2	2
Gene3D	G3DSA:2.40.50.150		2	2
Gene3D	G3DSA:2.40.50.690		2	2
Gene3D	G3DSA:2.40.50.700		2	2
Gene3D	G3DSA:2.40.50.770		2	2
Gene3D	G3DSA:2.60.11.10	Cytochrome c oxidase, subunit Vb	2	2
Gene3D	G3DSA:2.60.120.320		2	2
Gene3D	G3DSA:2.60.120.430		2	2
Gene3D	G3DSA:2.60.120.460		2	2
Gene3D	G3DSA:2.60.120.470	PITH domain	2	2
Gene3D	G3DSA:2.60.260.40	q5lls5 like domains	2	2
Gene3D	G3DSA:2.60.300.12		2	2
Gene3D	G3DSA:2.60.40.1110		2	2
Gene3D	G3DSA:2.60.40.1760	glycosyl hydrolase (family 31)	2	2
Gene3D	G3DSA:2.60.40.2440		2	2
Gene3D	G3DSA:2.60.40.3170		2	2
Gene3D	G3DSA:2.60.40.4370		2	2
Gene3D	G3DSA:2.60.40.770		2	2
Gene3D	G3DSA:2.60.60.30	sav2460 like domains	2	2
Gene3D	G3DSA:2.70.20.10	Topoisomerase I, domain 3	2	2
Gene3D	G3DSA:2.70.210.12	GTP1/OBG domain	2	2
Gene3D	G3DSA:2.70.98.10		2	2
Gene3D	G3DSA:3.10.20.620		2	2
Gene3D	G3DSA:3.10.20.740		2	2
Gene3D	G3DSA:3.10.20.810		2	2
Gene3D	G3DSA:3.10.20.870		2	2
Gene3D	G3DSA:3.10.290.60		2	2
Gene3D	G3DSA:3.10.290.70		2	2
Gene3D	G3DSA:3.10.310.40		2	2
Gene3D	G3DSA:3.10.310.70		2	2
Gene3D	G3DSA:3.10.330.20		2	2
Gene3D	G3DSA:3.10.430.100		2	2
Gene3D	G3DSA:3.10.450.220		2	2
Gene3D	G3DSA:3.10.450.240		2	2
Gene3D	G3DSA:3.10.450.580	Mediator complex, subunit Med6	2	2
Gene3D	G3DSA:3.15.10.10		2	2
Gene3D	G3DSA:3.20.20.120		2	2
Gene3D	G3DSA:3.20.20.20		2	2
Gene3D	G3DSA:3.30.10.10	Trypsin Inhibitor V, subunit A	2	2
Gene3D	G3DSA:3.30.1060.10	Peptide methionine sulphoxide reductase MsrA	2	2
Gene3D	G3DSA:3.30.1140.40		2	2
Gene3D	G3DSA:3.30.1140.60		2	2
Gene3D	G3DSA:3.30.1220.10		2	2
Gene3D	G3DSA:3.30.1360.20	Transcriptional coactivator/pterin dehydratase	2	2
Gene3D	G3DSA:3.30.1360.210		2	2
Gene3D	G3DSA:3.30.1360.30		2	2
Gene3D	G3DSA:3.30.1360.70		2	2
Gene3D	G3DSA:3.30.1370.240		2	2
Gene3D	G3DSA:3.30.1370.30		2	2
Gene3D	G3DSA:3.30.1370.50		2	2
Gene3D	G3DSA:3.30.1370.70		2	2
Gene3D	G3DSA:3.30.1470.10	Photosystem I PsaD, reaction center subunit II	2	2
Gene3D	G3DSA:3.30.1490.50		2	2
Gene3D	G3DSA:3.30.1490.80		2	2
Gene3D	G3DSA:3.30.160.40		2	2
Gene3D	G3DSA:3.30.170.10		2	2
Gene3D	G3DSA:3.30.1740.10		2	2
Gene3D	G3DSA:3.30.200.160	TFIIIC, subcomplex tauA, subunit Sfc1, barrel domain	2	2
Gene3D	G3DSA:3.30.200.210		2	2
Gene3D	G3DSA:3.30.2170.10	archaeoglobus fulgidus dsm 4304 superfamily	2	2
Gene3D	G3DSA:3.30.2180.10		2	2
Gene3D	G3DSA:3.30.2260.10	Enhancer of rudimentary	2	2
Gene3D	G3DSA:3.30.2280.10	Hypothetical protein (hspc210)	2	2
Gene3D	G3DSA:3.30.230.30		2	2
Gene3D	G3DSA:3.30.2320.30		2	2
Gene3D	G3DSA:3.30.2380.10	CGI121/TPRKB	2	2
Gene3D	G3DSA:3.30.390.10		2	2
Gene3D	G3DSA:3.30.390.110		2	2
Gene3D	G3DSA:3.30.40.230		2	2
Gene3D	G3DSA:3.30.450.190		2	2
Gene3D	G3DSA:3.30.457.50	Chromosome segregation protein Spc25	2	2
Gene3D	G3DSA:3.30.460.80	NADH:ubiquinone oxidoreductase, 30kDa subunit	2	2
Gene3D	G3DSA:3.30.465.10		2	2
Gene3D	G3DSA:3.30.470.160	Inositol polyphosphate kinase	2	2
Gene3D	G3DSA:3.30.56.30		2	2
Gene3D	G3DSA:3.30.56.70		2	2
Gene3D	G3DSA:3.30.70.1130	EIF_2_alpha	2	2
Gene3D	G3DSA:3.30.70.120		2	2
Gene3D	G3DSA:3.30.70.1220		2	2
Gene3D	G3DSA:3.30.70.1240		2	2
Gene3D	G3DSA:3.30.70.1400		2	2
Gene3D	G3DSA:3.30.70.2330		2	2
Gene3D	G3DSA:3.30.70.2460		2	2
Gene3D	G3DSA:3.30.70.2570		2	2
Gene3D	G3DSA:3.30.70.2610		2	2
Gene3D	G3DSA:3.30.70.2740		2	2
Gene3D	G3DSA:3.30.70.3000		2	2
Gene3D	G3DSA:3.30.70.3270		2	2
Gene3D	G3DSA:3.30.70.3370		2	2
Gene3D	G3DSA:3.30.70.380		2	2
Gene3D	G3DSA:3.30.70.590	Poly(A) polymerase predicted RNA binding domain	2	2
Gene3D	G3DSA:3.30.70.600	Ribosomal protein S10 domain	2	2
Gene3D	G3DSA:3.30.70.980		2	2
Gene3D	G3DSA:3.30.700.20	Hypothetical protein ph0010; domain 1	2	2
Gene3D	G3DSA:3.30.700.30		2	2
Gene3D	G3DSA:3.30.700.40		2	2
Gene3D	G3DSA:3.30.720.90		2	2
Gene3D	G3DSA:3.30.750.200		2	2
Gene3D	G3DSA:3.30.750.24	STAS domain	2	2
Gene3D	G3DSA:3.30.9.80		2	2
Gene3D	G3DSA:3.30.900.10	HORMA domain	2	2
Gene3D	G3DSA:3.30.920.10	Frataxin/CyaY	2	2
Gene3D	G3DSA:3.40.1000.10	Mog1/PsbP, alpha/beta/alpha sandwich	2	2
Gene3D	G3DSA:3.40.1000.50	Repressor of RNA polymerase III transcription  Maf1	2	2
Gene3D	G3DSA:3.40.1030.10	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain	2	2
Gene3D	G3DSA:3.40.1080.10		2	2
Gene3D	G3DSA:3.40.1120.10	Ribosomal protein l15e	2	2
Gene3D	G3DSA:3.40.1280.30		2	2
Gene3D	G3DSA:3.40.140.100		2	2
Gene3D	G3DSA:3.40.140.70		2	2
Gene3D	G3DSA:3.40.1490.10	Bit1	2	2
Gene3D	G3DSA:3.40.1500.10	Coproporphyrinogen III oxidase, aerobic	2	2
Gene3D	G3DSA:3.40.1690.20		2	2
Gene3D	G3DSA:3.40.220.10	Leucine Aminopeptidase, subunit E, domain 1	2	2
Gene3D	G3DSA:3.40.225.10		2	2
Gene3D	G3DSA:3.40.5.10		2	2
Gene3D	G3DSA:3.40.5.50		2	2
Gene3D	G3DSA:3.40.50.10210		2	2
Gene3D	G3DSA:3.40.50.10240	Thiamin pyrophosphokinase, catalytic domain	2	2
Gene3D	G3DSA:3.40.50.10300		2	2
Gene3D	G3DSA:3.40.50.10320		2	2
Gene3D	G3DSA:3.40.50.10540		2	2
Gene3D	G3DSA:3.40.50.10580	ATPase, V1 complex, subunit F	2	2
Gene3D	G3DSA:3.40.50.10880	Uncharacterised protein PF01937, DUF89, domain 3	2	2
Gene3D	G3DSA:3.40.50.11040		2	2
Gene3D	G3DSA:3.40.50.11380		2	2
Gene3D	G3DSA:3.40.50.1170		2	2
Gene3D	G3DSA:3.40.50.11960		2	2
Gene3D	G3DSA:3.40.50.12280		2	2
Gene3D	G3DSA:3.40.50.12470		2	2
Gene3D	G3DSA:3.40.50.12650		2	2
Gene3D	G3DSA:3.40.50.140		2	2
Gene3D	G3DSA:3.40.50.170		2	2
Gene3D	G3DSA:3.40.50.1950		2	2
Gene3D	G3DSA:3.40.50.1970		2	2
Gene3D	G3DSA:3.40.50.280		2	2
Gene3D	G3DSA:3.40.50.740		2	2
Gene3D	G3DSA:3.40.630.170		2	2
Gene3D	G3DSA:3.40.630.20		2	2
Gene3D	G3DSA:3.40.910.10	Deoxyhypusine synthase	2	2
Gene3D	G3DSA:3.50.30.20		2	2
Gene3D	G3DSA:3.50.80.10		2	2
Gene3D	G3DSA:3.60.150.10	Chorismate synthase AroC	2	2
Gene3D	G3DSA:3.60.70.12		2	2
Gene3D	G3DSA:3.65.10.10	Enolpyruvate transferase domain	2	2
Gene3D	G3DSA:3.80.30.20	tm_1862 like domain	2	2
Gene3D	G3DSA:3.90.1010.10		2	2
Gene3D	G3DSA:3.90.1030.10	Ribosomal protein L17	2	2
Gene3D	G3DSA:3.90.1070.20		2	2
Gene3D	G3DSA:3.90.1150.170		2	2
Gene3D	G3DSA:3.90.1170.10	Ribosomal protein L10e/L16	2	2
Gene3D	G3DSA:3.90.1260.10	Argininosuccinate synthetase, chain A, domain 2	2	2
Gene3D	G3DSA:3.90.1420.10		2	2
Gene3D	G3DSA:3.90.1430.10	Yeast translation eEF2 (G' domain)	2	2
Gene3D	G3DSA:3.90.1530.10		2	2
Gene3D	G3DSA:3.90.1720.30	PPPDE domains	2	2
Gene3D	G3DSA:3.90.1770.10		2	2
Gene3D	G3DSA:3.90.1800.10	RNA polymerase alpha subunit dimerisation domain	2	2
Gene3D	G3DSA:3.90.20.20		2	2
Gene3D	G3DSA:3.90.245.10		2	2
Gene3D	G3DSA:3.90.430.10		2	2
Gene3D	G3DSA:3.90.530.10		2	2
Gene3D	G3DSA:3.90.640.90		2	2
Gene3D	G3DSA:3.90.70.200		2	2
Gene3D	G3DSA:3.90.980.20		2	2
Gene3D	G3DSA:4.10.1000.30		2	2
Gene3D	G3DSA:4.10.1050.10		2	2
Gene3D	G3DSA:4.10.1250.10	Aminomethyltransferase  fragment	2	2
Gene3D	G3DSA:4.10.410.20		2	2
Gene3D	G3DSA:4.10.640.10	Ribosomal protein S18	2	2
Gene3D	G3DSA:4.10.800.20		2	2
Gene3D	G3DSA:4.10.950.10	Ribosomal protein L2, domain 3	2	2
Gene3D	G3DSA:6.10.10.90		2	2
Gene3D	G3DSA:6.10.140.1200		2	2
Gene3D	G3DSA:6.10.140.1240		2	2
Gene3D	G3DSA:6.10.140.1270		2	2
Gene3D	G3DSA:6.10.140.1440		2	2
Gene3D	G3DSA:6.10.140.1710		2	2
Gene3D	G3DSA:6.10.140.2150		2	2
Gene3D	G3DSA:6.10.140.250		2	2
Gene3D	G3DSA:6.10.140.260		2	2
Gene3D	G3DSA:6.10.140.470		2	2
Gene3D	G3DSA:6.10.160.20		2	2
Gene3D	G3DSA:6.10.250.1080		2	2
Gene3D	G3DSA:6.10.250.1270		2	2
Gene3D	G3DSA:6.10.250.1280		2	2
Gene3D	G3DSA:6.10.250.1620		2	2
Gene3D	G3DSA:6.10.250.2430		2	2
Gene3D	G3DSA:6.10.250.2520		2	2
Gene3D	G3DSA:6.10.250.2840		2	2
Gene3D	G3DSA:6.10.250.3440		2	2
Gene3D	G3DSA:6.10.250.600		2	2
Gene3D	G3DSA:6.10.250.780		2	2
Gene3D	G3DSA:6.10.250.860		2	2
Gene3D	G3DSA:6.10.260.10		2	2
Gene3D	G3DSA:6.10.280.10	Mediator complex, subunit Med21	2	2
Gene3D	G3DSA:6.10.280.100		2	2
Gene3D	G3DSA:6.10.30.50		2	2
Gene3D	G3DSA:6.10.330.20		2	2
Gene3D	G3DSA:6.10.60.10		2	2
Gene3D	G3DSA:6.20.120.20		2	2
Gene3D	G3DSA:6.20.340.10		2	2
Gene3D	G3DSA:6.20.370.70		2	2
Hamap	MF_00001	Aspartate carbamoyltransferase [pyrB].	2	2
Hamap	MF_00005	Argininosuccinate synthase [argG].	2	2
Hamap	MF_00022	Glutamate--tRNA ligase [gltX].	2	2
Hamap	MF_00036_B	Alanine--tRNA ligase [alaS].	2	2
Hamap	MF_00050	Elongation factor Ts [tsf].	2	2
Hamap	MF_00071	Elongation factor 4 [lepA].	2	2
Hamap	MF_00076	Imidazoleglycerol-phosphate dehydratase [hisB].	2	2
Hamap	MF_00079	ATP phosphoribosyltransferase [hisG].	2	2
Hamap	MF_00097	Thiamine-phosphate synthase [thiE].	2	2
Hamap	MF_00101	Holo-[acyl-carrier-protein] synthase [acpS].	2	2
Hamap	MF_00121	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B [gatB].	2	2
Hamap	MF_00135	N-(5'-phosphoribosyl)anthranilate isomerase [trpF].	2	2
Hamap	MF_00139	Bifunctional purine biosynthesis protein PurH [purH].	2	2
Hamap	MF_00147_B	Triosephosphate isomerase [tpiA].	2	2
Hamap	MF_00154	Protoheme IX farnesyltransferase [cyoE].	2	2
Hamap	MF_00160	Phosphoserine aminotransferase [serC].	2	2
Hamap	MF_00171	tRNA pseudouridine synthase A [truA].	2	2
Hamap	MF_00181	Probable cytosol aminopeptidase [pepA].	2	2
Hamap	MF_00198	Polyamine aminopropyltransferase [speE].	2	2
Hamap	MF_00206	Lipoyl synthase [lipA].	2	2
Hamap	MF_00216	Translation initiation factor 1A [eif1a].	2	2
Hamap	MF_00223	GTP cyclohydrolase 1 [folE].	2	2
Hamap	MF_00228	Hydroxyethylthiazole kinase [thiM].	2	2
Hamap	MF_00238	Cytidylate kinase [cmk].	2	2
Hamap	MF_00250	DNA-directed RNA polymerase subunit Rpo10 [rpo10].	2	2
Hamap	MF_00251	Large ribosomal subunit protein bL36 [rpmJ].	2	2
Hamap	MF_00272	Glycine cleavage system H protein [gcvH].	2	2
Hamap	MF_00300	Chorismate synthase [aroC].	2	2
Hamap	MF_00306	Signal recognition particle 54 kDa protein [srp54].	2	2
Hamap	MF_00311	A-type ATP synthase subunit E [atpE].	2	2
Hamap	MF_00317	DNA polymerase sliding clamp [pcn].	2	2
Hamap	MF_00331	Cysteine desulfurase IscS [iscS].	2	2
Hamap	MF_00349	Large ribosomal subunit protein eL34 [rpl34e].	2	2
Hamap	MF_00351	Fibrillarin-like rRNA/tRNA 2'-O-methyltransferase [flpA].	2	2
Hamap	MF_00376	Dephospho-CoA kinase [coaE].	2	2
Hamap	MF_00384	Homoserine kinase [thrB].	2	2
Hamap	MF_00403_B	Small ribosomal subunit protein uS12 [rpsL].	2	2
Hamap	MF_00408	TATA-box-binding protein [tbp].	2	2
Hamap	MF_00412	Gamma-glutamyl phosphate reductase [proA].	2	2
Hamap	MF_00434	Putative pterin-4-alpha-carbinolamine dehydratase.	2	2
Hamap	MF_00456	Glutamate 5-kinase [proB].	2	2
Hamap	MF_00499	Large ribosomal subunit protein eL13 [rpl13e].	2	2
Hamap	MF_00547	Large ribosomal subunit protein eL37 [rpl37e].	2	2
Hamap	MF_00719	Adenosylcobinamide-GDP ribazoletransferase [cobS].	2	2
Hamap	MF_00741	Phosphoribosylformylglycinamidine cyclo-ligase [purM].	2	2
Hamap	MF_00944	Ribosome-binding ATPase YchF [ychF].	2	2
Hamap	MF_01106	Glutamate N-acetyltransferase [argJ].	2	2
Hamap	MF_01116	16S rRNA aminocarboxypropyltransferase.	2	2
Hamap	MF_01152	Chaperone protein DnaJ [dnaJ].	2	2
Hamap	MF_01208	Orotate phosphoribosyltransferase [pyrE].	2	2
Hamap	MF_01227	CTP synthase [pyrG].	2	2
Hamap	MF_01326_A	Large ribosomal subunit protein uL24 [rplX].	2	2
Hamap	MF_01356	NAD(P)H-quinone oxidoreductase subunit K, chloroplastic [ndhK].	2	2
Hamap	MF_01363	Large ribosomal subunit protein bL21 [rplU].	2	2
Hamap	MF_01368	Large ribosomal subunit protein bL17 [rplQ].	2	2
Hamap	MF_01445	tRNA N6-adenosine threonylcarbamoyltransferase [tsaD].	2	2
Hamap	MF_01547	Ribosomal RNA large subunit methyltransferase E [rlmE].	2	2
Hamap	MF_01635	4-hydroxybenzoate octaprenyltransferase [ubiA].	2	2
Hamap	MF_01658	3-demethoxyubiquinol 3-hydroxylase [coq7].	2	2
Hamap	MF_01928	N5-carboxyaminoimidazole ribonucleotide synthase [purK].	2	2
Hamap	MF_01929	N5-carboxyaminoimidazole ribonucleotide mutase [purE].	2	2
Hamap	MF_01964	Inosine-5'-monophosphate dehydrogenase [guaB].	2	2
Hamap	MF_01974	Methionine aminopeptidase [map].	2	2
Hamap	MF_01987	Deoxyribokinase [deoK].	2	2
Hamap	MF_02087	Pyridoxal phosphate homeostasis protein.	2	2
Hamap	MF_03008	Eukaryotic translation initiation factor 3 subunit I [EIF3I].	2	2
Hamap	MF_03023	Meiotic spindle formation protein mei-1 [mei-1].	2	2
Hamap	MF_03037	Probable cytosolic iron-sulfur protein assembly protein CIAO1 [CIAO1].	2	2
Hamap	MF_03048	Ubiquitin-related modifier 1 [URM1].	2	2
Hamap	MF_03057	Succinate dehydrogenase assembly factor 2, mitochondrial [SDHAF2].	2	2
Hamap	MF_03064	Mitochondrial glycine transporter [SLC25A38].	2	2
Hamap	MF_03101	Deoxyhypusine hydroxylase [DOHH].	2	2
Hamap	MF_03116	Methylthioribulose-1-phosphate dehydratase [APIP].	2	2
Hamap	MF_03141	Platelet-activating factor acetylhydrolase IB subunit alpha [PAFAH1B1].	2	2
Hamap	MF_03168	Adenylate kinase 2, mitochondrial [AK2].	2	2
Hamap	MF_03211	RNA cytidine acetyltransferase [NAT10].	2	2
Hamap	MF_03226	Splicing factor YJU2 [YJU2].	2	2
NCBIfam	NF001208	acetate--CoA ligase	2	2
NCBIfam	NF001211	glucose-6-phosphate isomerase	2	2
NCBIfam	NF001221	glutamate-5-semialdehyde dehydrogenase	2	2
NCBIfam	NF001380	adenylate kinase	2	2
NCBIfam	NF001381	adenylate kinase	2	2
NCBIfam	NF001484	isomerizing glutamine--fructose-6-phosphate transaminase	2	2
NCBIfam	NF001567	glycine cleavage system aminomethyltransferase GcvT	2	2
NCBIfam	NF001696	aminomethyl-transferring glycine dehydrogenase subunit GcvPA	2	2
NCBIfam	NF001749	30S ribosomal protein S9	2	2
NCBIfam	NF001770	argininosuccinate synthase	2	2
NCBIfam	NF001908	nucleoside-diphosphate kinase	2	2
NCBIfam	NF002018	4a-hydroxytetrahydrobiopterin dehydratase	2	2
NCBIfam	NF002032	aspartate carbamoyltransferase catalytic subunit	2	2
NCBIfam	NF002111	imidazoleglycerol-phosphate dehydratase HisB	2	2
NCBIfam	NF002114	imidazoleglycerol-phosphate dehydratase HisB	2	2
NCBIfam	NF002270	glycine cleavage system protein GcvH	2	2
NCBIfam	NF002325	acetylornithine transaminase	2	2
NCBIfam	NF002621	DUF367 family protein	2	2
NCBIfam	NF002806	IscS subfamily cysteine desulfurase	2	2
NCBIfam	NF002937	acetoacetate--CoA ligase	2	2
NCBIfam	NF003078	translation initiation factor IF-2	2	2
NCBIfam	NF003089	DNA-directed RNA polymerase subunit N	2	2
NCBIfam	NF003115	30S ribosomal protein S8	2	2
NCBIfam	NF003214	50S ribosomal protein L37e	2	2
NCBIfam	NF003235	V-type ATP synthase subunit B	2	2
NCBIfam	NF003276	fibrillarin-like rRNA/tRNA 2'-O-methyltransferase	2	2
NCBIfam	NF003301	DNA repair and recombination protein RadA	2	2
NCBIfam	NF003727	oxygen-dependent coproporphyrinogen oxidase	2	2
NCBIfam	NF003764	3-phosphoserine/phosphohydroxythreonine transaminase	2	2
NCBIfam	NF003792	CTP synthase	2	2
NCBIfam	NF003793	chorismate synthase	2	2
